
['EP3062192A1 (B1) ¡E 2016-08-31 ¡E QUANTA COMP INC\n', ' AT Lapse: 03.07.2019\n', ' BE Lapse: 31.07.2019\n', ' BG Lapse: 03.10.2019\n', ' CH Lapse: 31.07.2019\n', 'CY Lapse: 03.07.2019\n', ' CZ Lapse: 03.07.2019\n', ' DE  \n', ' DK Lapse: 03.07.2019\n', ' EE Lapse: 03.07.2019\n', ' ES Lapse: 03.07.2019\n', ' FI Lapse: 03.07.2019\n', ' FR  \n', ' GB  \n', ' GR Lapse: 04.10.2019\n', ' HR Lapse: 03.07.2019\n', ' HU Lapse: 22.07.2015\n', ' IE Lapse: 22.07.2019\n', ' IS Lapse: 03.11.2019\n', ' IT Lapse: 03.07.2019\n', ' LI Lapse: 31.07.2019\n', ' LT Lapse: 03.07.2019\n', ' LU Lapse: 22.07.2019\n', 'LV Lapse: 03.07.2019\n', ' MC Lapse: 03.07.2019\n', ' MK Lapse: 03.07.2019\n', ' MT Lapse: 03.07.2019\n', ' NL Lapse: 03.07.2019\n', ' NO Lapse: 03.10.2019\n', ' PL Lapse: 03.07.2019\n', ' PT Lapse: 04.11.2019\n', ' RO Lapse: 03.07.2019\n', ' RS Lapse: 03.07.2019\n', ' SE Lapse: 03.07.2019\n', ' SI Lapse: 03.07.2019\n', ' SK Lapse: 03.07.2019\n', ' SM Lapse: 03.07.2019\n', ' TR Lapse: 03.07.2019\n', 'x', 'x']

['EP2983061A1 (B1) ¡E 2016-02-10 ¡E QUANTA COMP INC\n', ' AT Lapse: 07.08.2019\n', ' BE Lapse: 30.04.2020\n', ' BG Lapse: 07.11.2019\n', ' CH Lapse: 30.04.2020\n', 'CY Lapse: 07.08.2019\n', ' CZ Lapse: 07.08.2019\n', ' DE  \n', ' DK Lapse: 07.08.2019\n', ' EE Lapse: 07.08.2019\n', ' ES Lapse: 07.08.2019\n', ' FI Lapse: 07.08.2019\n', ' FR  \n', ' GB  \n', ' GR Lapse: 08.11.2019\n', ' HR Lapse: 07.08.2019\n', ' HU Lapse: 15.04.2015\n', ' IE Lapse: 15.04.2020\n', ' IS Lapse: 07.12.2019\n', ' IT Lapse: 07.08.2019\n', ' LI Lapse: 30.04.2020\n', ' LT Lapse: 07.08.2019\n', ' LU Lapse: 15.04.2020\n', 'LV Lapse: 07.08.2019\n', ' MC Lapse: 07.08.2019\n', ' MK Lapse: 07.08.2019\n', ' MT Lapse: 07.08.2019\n', ' NL Lapse: 07.08.2019\n', ' NO Lapse: 07.11.2019\n', ' PL Lapse: 07.08.2019\n', ' PT Lapse: 09.12.2019\n', ' RO Lapse: 07.08.2019\n', ' RS Lapse: 07.08.2019\n', ' SE Lapse: 07.08.2019\n', ' SI Lapse: 07.08.2019\n', ' SK Lapse: 07.08.2019\n', ' SM Lapse: 07.08.2019\n', ' TR Lapse: 07.08.2019\n', 'x', 'x']

['EP2824667A2 (A3,B1) ¡E 2015-01-14 ¡E QUANTA COMP INC\n', ' AT Lapse: 21.03.2018\n', ' BE Lapse: 30.11.2018\n', ' BG Lapse: 21.06.2018\n', ' CH Lapse: 30.11.2018\n', 'CY Lapse: 21.03.2018\n', ' CZ Lapse: 21.03.2018\n', ' DE  \n', ' DK Lapse: 21.03.2018\n', ' EE Lapse: 21.03.2018\n', ' ES Lapse: 21.03.2018\n', ' FI Lapse: 21.03.2018\n', ' FR  \n', ' GB  \n', ' GR Lapse: 22.06.2018\n', ' HR Lapse: 21.03.2018\n', ' HU Lapse: 21.11.2013\n', ' IE Lapse: 21.11.2018\n', ' IS Lapse: 21.07.2018\n', ' IT Lapse: 21.03.2018\n', ' LI Lapse: 30.11.2018\n', ' LT Lapse: 21.03.2018\n', ' LU Lapse: 21.11.2018\n', 'LV Lapse: 21.03.2018\n', ' MC Lapse: 21.03.2018\n', ' MK Lapse: 21.03.2018\n', ' MT Lapse: 21.11.2018\n', ' NL Lapse: 21.03.2018\n', ' NO Lapse: 21.06.2018\n', ' PL Lapse: 21.03.2018\n', ' PT Lapse: 23.07.2018\n', ' RO Lapse: 21.03.2018\n', ' RS Lapse: 21.03.2018\n', ' SE Lapse: 21.03.2018\n', ' SI Lapse: 21.03.2018\n', ' SK Lapse: 21.03.2018\n', ' SM Lapse: 21.03.2018\n', ' TR Lapse: 21.03.2018\n', 'x', 'x']

['EP2897128A2 (A3,B1) ¡E 2015-07-22 ¡E QUANTA COMP INC\n', ' AT Lapse: 05.06.2019\n', ' BE Lapse: 31.12.2019\n', ' BG Lapse: 05.09.2019\n', ' CH Lapse: 31.12.2019\n', 'CY Lapse: 05.06.2019\n', ' CZ Lapse: 05.06.2019\n', ' DE  \n', ' DK Lapse: 05.06.2019\n', ' EE Lapse: 05.06.2019\n', ' ES Lapse: 05.06.2019\n', ' FI Lapse: 05.06.2019\n', ' FR  \n', ' GB  \n', ' GR Lapse: 06.09.2019\n', ' HR Lapse: 05.06.2019\n', ' HU Lapse: 31.12.2014\n', ' IE Lapse: 31.12.2019\n', ' IS Lapse: 05.10.2019\n', ' IT Lapse: 05.06.2019\n', ' LI Lapse: 31.12.2019\n', ' LT Lapse: 05.06.2019\n', ' LU Lapse: 31.12.2019\n', 'LV Lapse: 05.06.2019\n', ' MC Lapse: 05.06.2019\n', ' MK Lapse: 05.06.2019\n', ' MT Lapse: 05.06.2019\n', ' NL Lapse: 05.06.2019\n', ' NO Lapse: 05.09.2019\n', ' PL Lapse: 05.06.2019\n', ' PT Lapse: 07.10.2019\n', ' RO Lapse: 05.06.2019\n', ' RS Lapse: 05.06.2019\n', ' SE Lapse: 05.06.2019\n', ' SI Lapse: 05.06.2019\n', ' SK Lapse: 05.06.2019\n', ' SM Lapse: 05.06.2019\n', ' TR Lapse: 05.06.2019\n', 'x', 'x']

['EP3531808A1 (B1) ¡E 2019-08-28 ¡E QUANTA COMP INC\n', ' AT Lapse: 15.09.2021\n', ' BE Lapse: 31.12.2021\n', ' BG Lapse: 15.12.2021\n', ' CH Lapse: 31.12.2021\n', 'CY  \n', ' CZ Lapse: 15.09.2021\n', ' DE  \n', ' DK Lapse: 15.09.2021\n', ' EE Lapse: 15.09.2021\n', ' ES Lapse: 15.09.2021\n', ' FI Lapse: 15.09.2021\n', ' FR  \n', ' GB  \n', ' GR Lapse: 16.12.2021\n', ' HR Lapse: 15.09.2021\n', ' HU  \n', ' IE Lapse: 17.12.2021\n', ' IS Lapse: 15.01.2022\n', ' IT Lapse: 15.09.2021\n', ' LI Lapse: 31.12.2021\n', ' LT Lapse: 15.09.2021\n', ' LU Lapse: 17.12.2021\n', 'LV Lapse: 15.09.2021\n', ' MC Lapse: 15.09.2021\n', ' MK  \n', ' MT  \n', ' NL Lapse: 15.09.2021\n', ' NO Lapse: 15.12.2021\n', ' PL Lapse: 15.09.2021\n', ' PT Lapse: 17.01.2022\n', ' RO Lapse: 15.09.2021\n', ' RS Lapse: 15.09.2021\n', ' SE Lapse: 15.09.2021\n', ' SI Lapse: 15.09.2021\n', ' SK Lapse: 15.09.2021\n', ' SM Lapse: 15.09.2021\n', ' TR  \n', 'x', 'x']
